CÓDIGO DO,Unnamed: 0,Unnamed: 1,CST,Unnamed: 2,Unnamed: 3,Unnamed: 4,VALOR,VALOR.1,DESCONTO,BASE,VALOR.2,VALOR.3,ALÍQUOTAS
31000320005,ENGRENAGEM VELOCIMETRO NXR,87141000,260.0,5405,PC,"1,0000","17,3543","17,35","0,52","0,00","0,00","1,69","0,00 9,75"
,BROS125 150 (2003/2013,,,,,,,,,,,,
22050430001,ENGRENAGEM VELOCIMETRO TITAN 150,87141000,260.0,5405,JG,"1,0000","16,7334","16,73","0,50","0,00","0,00","0,00","0,00 0,00"
22017320004,ENGRENAGEM VELOCIMETRO TITAN 2000,87141000,260.0,5405,JG,"1,0000","15,5828","15,58","0,47","0,00","0,00","0,00","0,00 0,00"
,BIZ 100 125,,,,,,,,,,,,
31000330001,ENGRENAGEM VELOCIMETRO TWISTER,90299010,200.0,5102,PC,"1,0000","17,8839","17,88","0,55","17,33","3,29","1,61","19,00 9,00"
22011330008,ESTATOR TITAN 150 TITAN 150 SPORT 8,85119000,260.0,5405,PC,"1,0000","137,5688","137,57","4,13","0,00","0,00","0,00","0,00 0,00"
,BOBINAS,,,,,,,,,,,,
22012420000,ESTICADOR CORRENTE BIZ 100 125,87141000,60.0,5405,PC,"5,0000","3,0985","15,49","0,46","0,00","0,00","0,00","0,00 0,00"
,DREAM POP,,,,,,,,,,,,
22170150004,ESTICADOR CORRENTE CB300 TWISTER (,87141000,60.0,5405,PC,"2,0000","16,0880","32,18","0,97","0,00","0,00","0,00","0,00 0,00"
,2016 ),,,,,,,,,,,,
22191640001,ESTICADOR CORRENTE CROSSER 150,87141000,60.0,5405,JG,"2,0000","13,5068","27,01","0,81","0,00","0,00","0,00","0,00 0,00"
,XTZ 125,,,,,,,,,,,,
22079530002,ESTICADOR CORRENTE FAZER 150,87141000,260.0,5405,PC,"1,0000","15,6578","15,66","0,47","0,00","0,00","0,00","0,00 0,00"
,FACTOR 150,,,,,,,,,,,,
22021640001,ESTICADOR CORRENTE NXR BROS NX,87141000,60.0,5405,PC,"2,0000","14,6573","29,31","0,88","0,00","0,00","0,00","0,00 0,00"
,STRADA XRE,,,,,,,,,,,,
22194280005,ESTICADOR CORRENTE PLACA FAZER 150,87141000,60.0,5405,PC,"5,0000","2,8064","14,03","0,42","0,00","0,00","0,00","0,00 0,00"
,FACTOR 150 125,,,,,,,,,,,,
22027870007,ESTICADOR CORRENTE PLACA TWISTER,87141000,60.0,5405,PC,"5,0000","4,0820","20,41","0,61","0,00","0,00","0,00","0,00 0,00"
,TORNADO,,,,,,,,,,,,
22060510006,ESTICADOR CORRENTE SHINERAY XY50,87141000,260.0,5405,JG,"2,0000","7,5038","15,01","0,45","0,00","0,00","0,00","0,00 0,00"
,JET,,,,,,,,,,,,
22010100009,ESTICADOR CORRENTE TITAN 2000 TITAN,87141000,60.0,5405,PC,"10,0000","3,1216","31,22","0,94","0,00","0,00","0,00","0,00 0,00"
,150 CG,,,,,,,,,,,,
22021650005,ESTICADOR CORRENTE TORNADO,87141000,60.0,5405,PC,"2,0000","14,6573","29,31","0,88","0,00","0,00","0,00","0,00 0,00"
,TWISTER FALCON,,,,,,,,,,,,
22091660001,ESTICADOR CORRENTE TRAXX JL50Q2 (,87149990,260.0,5405,PC,"4,0000","3,7519","15,01","0,45","0,00","0,00","0,00","0,00 0,00"
,ESQUERDO ),,,,,,,,,,,,
22071080008,ESTICADOR CORRENTE YBR SUZUKI 125,87141000,60.0,5405,PC,"4,0000","8,3242","33,30","1,00","0,00","0,00","0,00","0,00 0,00"
22021190004,FILTRO AR BIZ DREAM CRYPTON (,84213100,260.0,5405,PC,"2,0000","25,2126","50,43","1,51","0,00","0,00","0,00","0,00 0,00"
,ESPORTIVO ),,,,,,,,,,,,
22001060008,FILTRO AR TITAN 150 160 FAN 125 150 ( 2014,84213100,60.0,5405,PC,"1,0000","18,7844","18,78","0,56","0,00","0,00","0,00","0,00 0,00"
,),,,,,,,,,,,,
22009720007,FILTRO BOMBA COMBUSTIVEL TITAN 150,87141000,260.0,5405,PC,"1,0000","24,9875","24,99","0,75","0,00","0,00","0,00","0,00 0,00"
22142150003,FILTRO BOMBA COMBUSTIVEL TITAN 150,87141000,260.0,5405,PC,"1,0000","25,0125","25,01","0,75","0,00","0,00","0,00","0,00 0,00"
,160,,,,,,,,,,,,
22004510004,GUARNICAO CUBA CARBURADOR BIZ 100,87141000,260.0,5405,PC,"10,0000","3,0015","30,02","0,90","0,00","0,00","0,00","0,00 0,00"
,( 2012/2016 ),,,,,,,,,,,,
22013780000,GUARNICAO CUBA CARBURADOR BIZ 100,87141000,60.0,5405,PC,"10,0000","1,8259","18,26","0,55","0,00","0,00","0,00","0,00 0,00"
,POP,,,,,,,,,,,,
22031000003,GUARNICAO CUBA CARBURADOR SUZUKI,84099118,60.0,5405,PC,"2,0000","4,7774","9,55","0,29","0,00","0,00","0,00","0,00 0,00"
,YES INTRUDER,,,,,,,,,,,,
22021980005,GUARNICAO CUBA CARBURADOR,87141000,60.0,5405,PC,"4,0000","1,4107","5,64","0,17","0,00","0,00","0,00","0,00 0,00"
,TWISTER TORNADO,,,,,,,,,,,,
22075140005,GUARNICAO CUBA CARBURADOR YBR,87141000,260.0,5405,PC,"4,0000","1,5008","6,00","0,18","0,00","0,00","0,00","0,00 0,00"
,FACTOR,,,,,,,,,,,,
22014990009,GUARNICAO ESCAPAMENTO FALCON,87141000,60.0,5405,PC,"2,0000","5,2124","10,42","0,31","0,00","0,00","0,00","0,00 0,00"
,SAHARA,,,,,,,,,,,,
22014980003,GUARNICAO ESCAPAMENTO NX150 200 XR,87141000,60.0,5405,PC,"2,0000","5,5528","11,11","0,33","0,00","0,00","0,00","0,00 0,00"
,XLR,,,,,,,,,,,,
22054230005,GUARNICAO ESCAPAMENTO NXR BROS,87141000,60.0,5405,PC,"2,0000","5,4627","10,93","0,33","0,00","0,00","0,00","0,00 0,00"
,125 150,,,,,,,,,,,,
22054240001,GUARNICAO ESCAPAMENTO TORNADO (,87141000,60.0,5405,PC,"2,0000","5,4627","10,93","0,33","0,00","0,00","0,00","0,00 0,00"
,PONTEIRA ),,,,,,,,,,,,
22075570001,GUARNICAO ESCAPAMENTO XTZ 125 (,87141000,60.0,5405,PC,"4,0000","5,9430","23,77","0,71","0,00","0,00","0,00","0,00 0,00"
,PONTEIRA ),,,,,,,,,,,,
22077980001,GUIA CORRENTE TRANSMISSAO BALANCA,87141000,260.0,5405,PC,"1,0000","26,3382","26,34","0,79","0,00","0,00","0,00","0,00 0,00"
,FAZER 250,,,,,,,,,,,,
22011310007,INTERRUPTOR FREIO DIANTEIRO TRAXX,85365090,260.0,5405,PC,"2,0000","4,4272","8,85","0,27","0,00","0,00","0,00","0,00 0,00"
,SHINERAY,,,,,,,,,,,,
22180220005,INTERRUPTOR FREIO POP 100 TRASEIRO,87141000,260.0,5405,PC,"2,0000","6,8884","13,78","0,41","0,00","0,00","0,00","0,00 0,00"
22026550009,INTERRUPTOR FREIO TITAN ES 2000,85365090,260.0,5405,PC,"5,0000","2,2961","11,48","0,34","0,00","0,00","0,00","0,00 0,00"
,TITAN150,,,,,,,,,,,,
22011340003,INTERRUPTOR FREIO TRASEIRO TODAY,85365090,260.0,5405,PC,"5,0000","4,8774","24,39","0,73","0,00","0,00","0,00","0,00 0,00"
,CG ( 1985 ),,,,,,,,,,,,
22070010006,INTERRUPTOR FREIO YBR ( DIANTEIRO ),85365090,260.0,5405,PC,"2,0000","6,5033","13,01","0,39","0,00","0,00","0,00","0,00 0,00"
22070020001,INTERRUPTOR FREIO YBR ( TRASEIRO ),85365090,260.0,5405,PC,"2,0000","7,8039","15,61","0,47","0,00","0,00","0,00","0,00 0,00"
22023700001,INTERRUPTOR PARTIDA BIZ 100 125 125+,85365090,260.0,5405,PC,"5,0000","7,5038","37,52","1,13","0,00","0,00","0,00","0,00 0,00"
,SHINERAY JET,,,,,,,,,,,,
22062600002,INTERRUPTOR PISCA SHINERAY JET 50,87141000,260.0,5405,PC,"2,0000","6,9195","13,84","0,42","0,00","0,00","0,00","0,00 0,00"
22171450001,JOGO INJECAO ELETRONICA CB300,87141000,60.0,5405,JG,"1,0000","15,8079","15,81","0,47","0,00","0,00","0,00","0,00 0,00"
,XRE300,,,,,,,,,,,,
22073600009,JOGO INJECAO ELETRONICA FAZER 250,87141000,60.0,5405,JG,"2,0000","3,9020","7,80","0,23","0,00","0,00","0,00","0,00 0,00"
,LANDER,,,,,,,,,,,,
22054990001,JOGO INJECAO ELETRONICA TITAN 150 BIZ,87141000,60.0,5405,JG,"2,0000","3,6518","7,30","0,22","0,00","0,00","0,00","0,00 0,00"
,125 NXR BROS,,,,,,,,,,,,
22052570003,JUNTA BIZ 100 DAFRA SUPER 100 DREAM,87141000,60.0,5405,JG,"2,0000","12,3062","24,61","0,74","0,00","0,00","0,00","0,00 0,00"
,KIT ( A ),,,,,,,,,,,,
22003460003,JUNTA TITAN 160 NXR BROS 160 ( JOGO ),84841000,60.0,5405,JG,"1,0000","21,2606","21,26","0,64","0,00","0,00","0,00","0,00 0,00"
22003450008,JUNTA TITAN 160 NXR BROS 160 KIT ( A ),84841000,60.0,5405,JG,"2,0000","8,0640","16,13","0,48","0,00","0,00","0,00","0,00 0,00"
22052550002,JUNTA TITAN 1992 CG TODAY NXR BROS,87141000,60.0,5405,JG,"2,0000","9,0570","18,11","0,54","0,00","0,00","0,00","0,00 0,00"
,KIT ( A ),,,,,,,,,,,,
02550020000,KIT ANEIS ORING COM MALETA,40169300,60.0,5405,KT,"1,0000","125,0625","125,06","3,75","0,00","0,00","0,00","0,00 0,00"
,MILIMETRICA,,,,,,,,,,,,
22081730005,KIT TRANSMISSAO TRAXX STAR,87141000,260.0,5405,JG,"1,0000","89,3447","89,34","2,68","0,00","0,00","0,00","0,00 0,00"
,SHINERAY XY 50,,,,,,,,,,,,
22072850001,LENTE PISCA FAZER LANDER ( AMBAR ),85122029,60.0,5405,PC,"5,0000","4,2271","21,14","0,63","0,00","0,00","0,00","0,00 0,00"
